2010Ranks,CountyName,Pop2010,PopDen2010
1,Harris,"4,092,459","2,402.40"
2,Dallas,"2,368,139","2,718.00"
3,Tarrant,"1,809,034","2,094.70"
4,Bexar,"1,714,773","1,383.10"
5,Travis,"1,024,266","1,034.40"
6,El Paso,"800,647",790.6
7,Collin,"782,341",930
8,Hidalgo,"774,769",493.2
9,Denton,"662,614",754.3
10,Fort Bend,"585,375",679.5
11,Montgomery,"455,746",437.5
12,Williamson,"422,679",378
13,Cameron,"406,220",456
14,Nueces,"340,223",405.8
15,Brazoria,"313,166",230.7
16,Bell,"310,235",295.2
17,Galveston,"291,309",769.9
18,Lubbock,"278,831",311.3
19,Jefferson,"252,273",287.9
20,Webb,"250,304",74.5
21,McLennan,"234,906",226.5
22,Smith,"209,714",227.6
23,Brazos,"194,851",332.8
24,Hays,"157,107",231.7
25,Johnson,"150,934",208.3
26,Ellis,"149,610",159.9
27,Ector,"137,130",152.8
28,Midland,"136,872",152
29,Guadalupe,"131,533",184.9
30,Taylor,"131,506",143.6
31,Wichita,"131,500",209.5
32,Gregg,"121,730",445.4
33,Potter,"121,073",133.3
34,Grayson,"120,877",129.6
35,Randall,"120,725",132.4
36,Parker,"116,927",129.4
37,Tom Green,"110,224",72.4
38,Comal,"108,472",193.9
39,Kaufman,"103,350",132.4
40,Bowie,"92,565",104.6
41,Victoria,"86,793",98.4
42,Angelina,"86,771",108.8
43,Hunt,"86,129",102.5
44,Orange,"81,837",245.3
45,Henderson,"78,532",89.9
46,Rockwall,"78,337",616.6
47,Liberty,"75,643",65.3
48,Coryell,"75,388",71.7
49,Bastrop,"74,171",83.5
50,Walker,"67,861",86.5
51,Harrison,"65,631",72.9
52,San Patricio,"64,804",93.5
53,Nacogdoches,"64,524",68.2
54,Starr,"60,968",49.8
55,Wise,"59,127",65.4
56,Anderson,"58,458",55
57,Hardin,"54,635",61.3
58,Maverick,"54,258",42.4
59,Rusk,"53,330",57.7
60,Van Zandt,"52,579",62.4
61,Hood,"51,182",121.7
62,Cherokee,"50,845",48.3
63,Lamar,"49,793",54.9
64,Kerr,"49,625",45
65,Val Verde,"48,879",15.5
66,Navarro,"47,735",47.3
67,Medina,"46,006",34.7
68,Polk,"45,413",43
69,Atascosa,"44,911",36.8
70,Waller,"43,205",84.1
71,Wilson,"42,918",53.4
72,Burnet,"42,750",43
73,Wood,"41,964",65
74,Wharton,"41,280",38
75,Jim Wells,"40,838",47.2
76,Upshur,"39,309",67.4
77,Cooke,"38,437",43.9
78,Brown,"38,106",40.3
79,Caldwell,"38,066",69.8
80,Erath,"37,890",35
81,Matagorda,"36,702",33.4
82,Hale,"36,273",36.1
83,Jasper,"35,710",38
84,Hopkins,"35,161",45.8
85,Chambers,"35,096",58.8
86,Hill,"35,089",36.6
87,Howard,"35,012",38.9
88,Fannin,"33,915",38.1
89,Washington,"33,718",55.8
90,Kendall,"33,410",50.4
91,Titus,"32,334",79.6
92,Kleberg,"32,061",36.4
93,Bee,"31,861",36.2
94,Cass,"30,464",32.5
95,Austin,"28,417",44
96,Palo Pinto,"28,111",29.5
97,Grimes,"26,604",33.8
98,Uvalde,"26,405",17
99,San Jacinto,"26,384",46.3
100,Shelby,"25,448",32
101,Gillespie,"24,837",23.5
102,Milam,"24,757",24.3
103,Fayette,"24,554",25.8
104,Panola,"23,796",29.7
105,Houston,"23,732",19.3
106,Limestone,"23,384",25.8
107,Aransas,"23,158",91.9
108,Hockley,"22,935",25.2
109,Gray,"22,535",24.3
110,Hutchinson,"22,150",25
111,Willacy,"22,134",37.5
112,Moore,"21,904",24.3
113,Tyler,"21,766",23.5
114,Calhoun,"21,381",42.2
115,Colorado,"20,874",21.7
116,Bandera,"20,485",25.9
117,Jones,"20,202",21.8
118,DeWitt,"20,097",22.1
119,Freestone,"19,816",22.6
120,Gonzales,"19,807",18.6
121,Montague,"19,719",21.2
122,Lampasas,"19,677",27.6
123,Deaf Smith,"19,372",12.9
124,Llano,"19,301",20.7
125,Lavaca,"19,263",19.9
126,Eastland,"18,583",20.1
127,Young,"18,550",20.3
128,Bosque,"18,212",18.5
129,Falls,"17,866",23.3
130,Gaines,"17,526",11.7
131,Frio,"17,217",15.2
132,Burleson,"17,187",26.1
133,Scurry,"16,921",18.7
134,Leon,"16,801",15.7
135,Robertson,"16,622",19.4
136,Lee,"16,612",26.4
137,Pecos,"15,507",3.3
138,Nolan,"15,216",16.7
139,Karnes,"14,824",19.8
140,Andrews,"14,786",9.9
141,Trinity,"14,585",21
142,Newton,"14,445",15.5
143,Jackson,"14,075",17
144,Zapata,"14,018",14
145,Lamb,"13,977",13.8
146,Comanche,"13,974",14.9
147,Dawson,"13,833",15.4
148,Reeves,"13,783",5.2
149,Madison,"13,664",29.3
150,Callahan,"13,544",15.1
151,Wilbarger,"13,535",13.9
152,Morris,"12,934",51.3
153,Red River,"12,860",12.4
154,Terry,"12,651",14.2
155,Camp,"12,401",63.3
156,Duval,"11,782",6.6
157,Zavala,"11,677",9
158,Live Oak,"11,531",11.1
159,Rains,"10,914",47.6
160,Sabine,"10,834",22
161,Clay,"10,752",9.9
162,Ward,"10,658",12.8
163,Franklin,"10,605",37.3
164,Marion,"10,546",27.7
165,Runnels,"10,501",10
166,Blanco,"10,497",14.8
167,Parmer,"10,269",11.7
168,Ochiltree,"10,223",11.1
169,Dimmit,"9,996",7.5
170,Stephens,"9,630",10.7
171,Mitchell,"9,403",10.3
172,Brewster,"9,232",1.5
173,Archer,"9,054",10
174,Jack,"9,044",9.9
175,Coleman,"8,895",7
176,San Augustine,"8,865",16.7
177,Hamilton,"8,517",10.2
178,Somervell,"8,490",45.5
179,McCulloch,"8,283",7.8
180,Castro,"8,062",9
181,Yoakum,"7,879",9.9
182,Swisher,"7,854",8.8
183,Presidio,"7,818",2
184,Refugio,"7,383",9.6
185,Brooks,"7,223",7.7
186,Goliad,"7,210",8.5
187,Bailey,"7,165",8.7
188,Winkler,"7,110",8.5
189,Childress,"7,041",10.1
190,La Salle,"6,886",4.6
191,Dallam,"6,703",4.5
192,Garza,"6,461",7.2
193,Floyd,"6,446",6.5
194,Carson,"6,182",6.7
195,San Saba,"6,131",5.4
196,Hartley,"6,062",4.1
197,Crosby,"6,059",6.7
198,Lynn,"5,915",6.6
199,Haskell,"5,899",6.5
200,Hansford,"5,613",6.1
201,Wheeler,"5,410",5.9
202,Jim Hogg,"5,300",4.7
203,Delta,"5,231",20.4
204,Mills,"4,936",6.6
